lat,lon,lprice,area,kitchen_area,rooms,level,object_type,building_type
55.8414292,37.4896672,16.14232377,38.2,19,1,13,2,2
45.0448141,41.9153991,15.0964444,45,19,1,11,1,2
56.15081,47.215604,15.22649753,69.4,12.4,2,2,1,3
57.1344143,65.5810892,16.11809565,101.2,30,3,3,1,3
53.5166663,49.4147264,13.81556056,31,5,1,3,1,3
56.2330839,43.4108204,15.07963729,61.2,9,3,8,1,3
59.9737296,30.4206589,15.33063779,30.3,8.2,1,2,1,1
53.1950306,50.1069518,15.78959158,83,12.8,3,13,2,2
59.9192972,30.4917004,15.8949521,56.7,6.2,3,2,1,1
44.5564072,38.0937448,15.57336848,40,10.5,1,9,1,2
45.0614045,38.9456725,15.8949521,60,20,2,11,1,2
55.1602624,61.4008078,14.66992589,60,21,3,1,2,1
55.773854,37.536922,16.75202347,93,9.2,3,5,1,3
57.6344425,39.8274176,14.771022,43.2,7,2,1,1,3
57.5675233,39.9217761,15.08470915,71,11.5,3,5,2,3
58.0323299,56.0135295,15.31958795,93,11,3,5,1,3
59.991314,30.210567,16.3412392,68,9,3,6,1,1
56.8213198,60.5863436,15.36307307,48.5,12,1,4,1,2
67.5159866,64.0580117,13.21767356,63.5,11.7,2,1,1,1
55.9100743,49.304304,15.34590526,78.3,15,3,1,2,3
56.414962,61.9188674,14.45736444,49.6,9,2,1,1,4
55.0011764,39.0784145,14.84155215,68,9,3,2,1,1
55.9851122,37.1044417,15.87602409,100,20.3,4,17,2,2
55.818801,49.114813,16.67771144,170,22,3,2,1,2
53.1026247,91.4146894,14.94691267,77.9,9,4,7,1,1
55.7425487,38.0006221,15.77560534,58,12.9,2,1,1,1
55.8064945,37.8460859,16.45456789,92,13,3,6,1,2
44.048446,41.9432971,13.73212895,35,9.1,1,2,1,1
45.0038685,39.0865107,14.89731573,45,10,1,13,1,6
56.2677331,43.8709678,14.84512998,33,6,1,1,1,1
55.0282926,55.9761306,14.11561515,42,6,2,1,1,3
59.9776156,30.4293754,15.42474845,46,6,2,5,1,4
55.430988,37.7428538,16.55635058,140,15,3,1,1,3
55.75029,38.01952,15.46416918,45,5.7,2,1,1,1
46.32212,39.38926,14.84512998,49,7.4,2,3,1,4
56.9018055,60.6149052,15.06827353,44.2,6,2,2,1,3
54.8950861,52.2976147,14.59483543,31,6,1,1,1,3
54.7246186,20.4999492,15.53827716,43.9,14,1,8,2,3
57.1461993,65.5905587,14.771022,48,6,3,1,1,1
55.8933542,52.3048021,13.76421726,29.3,8,1,1,1,3
55.5083059,47.4847665,14.50865724,82.6,8.3,4,1,1,3
55.640589,37.770573,16.1857543,52,9,2,9,1,1
56.8665195,53.1996899,14.26658618,38,11,1,2,1,3
54.9987939,82.9558506,14.771022,30.8,6,1,5,1,3
57.1131618,65.5813841,15.3151336,86,14,3,4,1,1
44.8732166,37.3315509,15.37365518,54,6,2,11,1,4
57.1814052,65.5602704,15.26477972,56.7,9.5,2,7,1,3
55.8442902,49.0500387,14.97866137,45,6.5,2,2,1,3
57.1529744,65.5344099,15.12923423,40.8,23,1,5,2,1
45.010067,41.902091,14.84512998,40,11,1,10,1,3
47.2224566,39.718803,15.62379933,104,20,3,15,2,3
53.7199664,91.4256101,14.50865774,30,6,1,3,1,1
57.1066734,65.6134913,15.40474576,85.3,12,3,2,1,1
55.8090662,37.7615857,16.19505669,57.4,11.4,2,36,2,2
55.9877075,92.8628519,14.6909793,29.3,6.2,1,10,1,3
43.404313,40.004163,15.52025865,35,7,1,2,1,2
55.60608,37.514311,16.25785759,54,9.2,2,13,1,1
56.035341,92.828569,14.91412285,63,7,3,2,1,3
57.1474515,65.5704129,15.19930179,49.7,15,2,5,1,3
57.6252571,39.880822,16.03471404,107.9,22.5,3,4,1,2
55.8079028,49.203967,15.38412648,39,12.2,1,5,1,3
56.3561445,37.5344541,14.95334356,41.5,11.3,1,14,1,2
55.7498563,52.4354609,14.5036452,35,9.8,1,3,1,1
59.8581958,30.3565611,15.31958795,30,5.5,1,1,1,1
55.1243171,61.4738208,14.62198642,50.6,9,2,4,1,1
57.175201,65.5680156,15.46416918,71,10,3,6,1,1
51.3080339,37.8816962,14.73180129,47,7.7,2,1,1,1
55.024708,82.811823,14.94691267,46.6,10,2,8,1,3
45.070848,39.040091,14.76716843,37,11,1,22,1,6
54.7973911,55.9548862,14.86282955,35,6,2,3,1,2
55.5980578,37.6583881,16.15731636,51.2,10,2,7,1,1
55.845405,37.373096,16.52356076,51.7,11.8,1,16,1,2
54.734944,55.9578468,15.17648711,63.3,8.3,3,12,1,3
54.7525121,83.1189941,15.33939058,70,12,3,2,1,3
47.2994315,39.7253164,15.06827353,83.2,13.6,3,4,1,1
55.7617536,37.9673251,15.85673089,70,12,2,10,1,1
57.8030123,40.9907644,14.53335035,33.6,10.8,1,4,1,3
60.0060776,30.3460391,15.86963429,52,7,2,5,1,3
44.6981887,37.7653467,14.84512998,40.7,12,1,6,1,2
52.0441872,113.4972111,16.03471404,147,25,4,3,1,3
56.8328065,60.5418899,15.11023773,43,7,2,3,1,1
55.0398578,82.900162,16.30041721,84.9,13.8,3,2,1,3
56.8539959,60.6069882,15.52025865,43,16,1,8,2,6
59.893825,30.477322,15.67180855,51.8,7,2,3,1,1
56.106173,47.268164,14.25053447,36,7.4,1,9,1,3
57.1065328,65.567133,15.33939058,75.8,20,2,2,1,6
60.0472818,30.3801132,16.09789294,75,10,3,16,1,1
43.3207865,45.6820609,16.06680236,88,10,2,2,1,2
55.9203292,37.7840011,15.50190951,40.1,9.8,1,4,1,1
54.5285378,36.2561274,15.0244709,43.7,10.7,1,8,1,3
48.5084292,44.5720103,14.75160392,51,6.7,3,4,1,3
54.9786837,82.9043035,14.89731573,40.89,4.67,2,8,2,1
57.1529744,65.5344099,14.9817815,37,17,1,3,1,2
57.1027438,65.6052866,14.97866137,51.1,8.8,2,2,1,1
55.851976,48.5005585,14.94691267,44,12,1,2,1,3
56.3431022,43.9165016,15.40474576,46,8,2,3,1,1
55.1436342,82.9542317,14.96291301,35,10,1,3,2,3
55.9979086,37.8624043,16.34920737,100,26,3,9,1,2
47.259647,39.689231,14.89392014,42,12.5,1,7,1,2
55.772518,49.1728825,15.52025865,38,9,1,5,1,3
44.679269,37.77732,15.50190951,73.4,15,2,14,1,2
55.86454,49.085923,16.01262402,110,35,4,9,1,3
59.939084,30.315879,15.51112617,38,11,1,5,2,2
52.5394634,85.1958332,14.76716843,53.5,8.2,2,9,1,1
57.7056772,39.7630119,14.90743386,58,9,2,16,1,1
56.7920815,60.6192003,15.60643635,63.2,22,2,3,1,3
57.133763,65.5753284,14.93392547,31.5,7,1,5,1,3
55.2081685,61.2738006,14.80132735,62,20,3,7,2,1
55.7540471,37.620405,15.45838325,39,10.1,2,7,2,2
55.5457201,37.4833157,15.84365881,43,10,2,15,1,3
55.83937,37.494316,16.64282418,58,13,2,15,2,2
57.6024799,39.8571556,15.14149212,60.74,9.71,2,7,2,3
55.685219,37.546147,16.63688944,54,11,2,13,1,3
43.0304693,44.6350754,14.75160392,65,15,2,2,2,3
54.9651282,82.8667897,14.73180129,29,5,1,4,1,1
55.862378,37.542689,16.4757701,52.5,8,2,15,1,2
55.77149,37.483597,16.11809565,42,5.8,2,1,1,4
52.5948638,39.4911042,14.5574479,42,14,1,11,1,3
47.2451325,39.7102327,14.88022129,52,7,2,8,1,3
47.2005639,39.6506427,15.00943303,50.5,8.6,2,1,1,6
51.2868839,37.8127977,14.48333993,39.8,9,2,4,1,3
44.0486279,43.0668366,14.75160392,45,6,2,5,1,3
54.7080385,20.5187416,15.42494847,66,7,3,6,1,1
56.9814043,60.4837048,14.48333993,33,7,1,1,1,1
55.8189504,49.1380579,15.88237332,66,14.3,2,2,1,3
60.0605823,30.3937178,15.51770412,39.9,17.9,2,2,1,3
54.6798394,20.4948016,15.64005985,130,17,4,11,1,3
54.9907932,73.2494523,14.80876233,60.7,6.1,3,5,1,1
55.0623387,83.4609033,13.99783211,46,5.2,2,1,1,3
56.864856,60.5587497,15.11023773,57,8,3,4,1,1
45.033232,39.0209062,15.15340218,45.2,12.6,1,14,1,6
52.0481349,113.5145894,15.90737462,80,12,2,9,1,2
55.7875033,37.611982,16.19505669,37,12.2,1,13,1,4
55.6119003,37.7295922,16.860033,101.5,10,4,21,1,1
55.1956001,61.3521367,15.06827353,75,16,3,1,1,1
55.8339911,37.2747506,15.64005985,38.9,10,1,7,1,2
43.5933538,39.7649815,15.65606019,51,8,1,11,1,2
48.7128256,44.5082386,15.35237778,75,16,2,10,1,3
45.0579015,39.0299799,15.34156686,58,10,2,9,1,2
55.0537145,82.9072329,15.20155489,67.1,9.1,2,19,1,2
55.0644095,82.9103165,15.31958795,39.01,10.34,1,6,2,6
55.0419722,82.9292705,15.83041358,79.45,5.1,3,15,2,6
57.1746966,65.652168,15.44082182,56,9,2,3,1,3
57.6047614,39.9471268,14.81376461,58.99,10.2,2,4,2,3
55.1123737,82.9322371,15.85673089,90,15,3,11,2,6
56.1506343,44.1879608,15.25059508,55,10,2,6,1,2
52.5419597,103.8874221,15.33063779,88,8,3,4,1,3
53.2328924,50.2519623,15.31958795,55,10.8,2,10,1,3
53.1950306,50.1069518,15.03928599,38,7.6,1,9,2,2
55.3965183,86.0149441,14.40329722,32,6,1,3,1,3
45.066634,39.022205,15.06827353,61.7,17,2,6,1,3
55.9081862,37.9370733,15.12384338,40.8,5.4,2,3,1,1
48.730568,44.5432546,16.23587869,133.4,8,4,5,1,2
55.745549,37.563224,16.95100477,85,12,3,4,1,3
44.5558,38.10218,15.00335398,41,10.25,1,5,1,2
55.611485,37.596157,16.26651566,50,6,3,2,1,1
55.6967135,52.3482448,14.5574479,47,7,2,1,1,1
55.0989474,82.9367375,15.2971151,60.8,14,2,8,1,2
43.8770023,41.5668386,13.99783211,60.1,5.9,3,2,1,3
52.5129537,103.8611262,14.5809784,35,11,1,3,1,1
55.0495532,82.9680612,15.29255928,37.16,10.11,1,3,2,6
45.074969,42.0078701,14.771022,45,9,2,4,1,3
45.0253314,39.1065924,15.20180492,61,14,2,6,1,4
55.0279085,82.9447102,15.62379933,60,25,1,9,1,2
47.2932227,39.7383447,14.94691267,64,11,3,10,1,1
55.6184986,37.6463021,16.24031328,52,6.2,3,2,1,1
55.7943584,49.1114975,15.00943303,35.4,11.2,1,18,2,2
59.830042,30.201342,15.83041358,60.2,6.2,3,4,1,1
56.8021354,60.6341632,14.80132735,29,6,1,2,1,3
55.6144096,37.9712947,15.75425222,70,11.6,2,9,1,1
54.999316,82.9853822,15.59890178,87,10,3,10,2,1
56.017334,92.795297,16.26651566,125.3,20,3,4,1,3
55.040544,83.000856,15.06827353,43,6.4,2,4,1,1
55.78526,37.637147,16.37969039,45,6,2,1,1,3
45.1110253,39.0258187,14.28551419,41,11,1,4,1,2
45.050947,41.9762141,15.26242954,90.1,13.3,3,16,2,2
43.4729007,43.5694553,15.65606019,152,15,3,8,1,3
47.1978843,39.628387,15.03928599,49,12,2,22,1,3
55.8515,37.363089,16.61887094,72,10.2,3,14,1,1
53.6319908,55.914593,14.89731573,59.9,6,3,1,1,1
55.0078245,82.9674939,15.86963429,120,20,4,17,2,6
47.2088009,39.6315068,14.84512998,43,8,2,2,1,3
56.1257566,47.0411495,14.37512635,50.5,8.5,2,2,1,1
59.1879281,39.8986637,15.26242954,65,8,3,5,1,3
56.0136647,92.8098843,15.23861889,62,9,3,1,1,1
45.055824,39.016007,15.76142071,126,40,4,5,1,3
56.8714881,60.541147,15.34156686,56,12,2,10,1,3
48.0604275,39.9506985,13.59236701,50.7,7.4,2,4,2,3
59.9413296,30.4947697,15.64005985,57.3,6.2,3,7,1,1
55.1615573,82.97792,14.90069983,60,6,3,4,1,3
55.2067022,61.2843432,14.88022129,67,16,2,3,2,1
55.698903,37.781021,15.95557672,44.7,6,2,2,1,1
45.1592084,39.01783,14.60396792,53.8,6,2,4,1,3
55.125896,82.894414,15.30841465,53.5,11.1,2,9,2,3
55.8370552,37.4976526,16.75994954,46.1,14,1,20,1,2
55.0099136,82.9348589,16.21340583,95.9,18.7,3,5,1,3
56.9700624,65.7804522,14.61751214,49,6,3,4,1,3
54.9439663,82.964339,14.97866137,63.13,12.05,2,8,1,1
55.0156382,82.9333862,16.06574917,108,30.6,2,8,1,3
56.1246637,47.1836406,14.80505175,39.1,12,1,6,1,3
58.6035264,49.6679304,14.77028712,57.9,13.3,2,2,2,1
51.5998136,45.9903779,14.18707411,37,9,1,13,2,3
60.03927,30.403831,16.04552496,66.2,7.7,3,9,1,3
55.8190093,37.5167998,16.21340583,47.6,8.8,2,3,1,1
57.1057117,65.565922,15.25059508,41.5,12,1,6,1,2
43.6221983,39.7592882,15.43983708,40,12,1,3,1,2
56.2875523,43.9319236,15.25059508,48.3,7,2,6,1,1
55.0859297,82.8073351,16.44017915,106.92,16.92,3,6,2,6
57.1454503,65.655635,14.79195521,33,9,1,8,1,3
43.6322126,39.7000652,15.95557672,51.2,8,2,2,1,2
55.6782708,47.9566714,14.07787482,43.4,9.7,1,3,1,3
60.083961,30.345054,15.61556883,53,15,2,14,1,2
55.5360182,37.7255689,15.93176607,64.5,14.5,2,7,1,1
45.058084,39.037566,14.86282955,38,10,1,5,1,4
55.8172748,49.1142318,16.95100477,106,16,2,7,1,3
55.7483362,37.8163505,15.8949521,33,5.7,2,2,1,3
56.0130968,92.9627019,15.06827353,56,7,3,3,1,1
56.7595719,60.8112644,14.73180129,41,9,1,6,1,2
56.1456832,44.2096807,15.67959069,106,14,3,9,1,3
56.8848057,60.6150587,15.24821129,54.9,6,3,1,1,3
56.0220308,92.7633111,14.94044015,42,9,1,13,1,3
56.279872,43.981426,15.27412558,44.3,6,2,6,1,3
53.3273084,50.3163073,14.25376549,28,8,1,1,1,1
55.663527,37.48685,17.37085862,135,30,3,7,1,2
51.2910138,37.5171683,14.40329722,52,9,2,3,1,1
55.0426785,82.9059862,15.2971151,47.1,6.8,2,9,1,1
56.8795468,60.6199812,15.67959069,67,10,3,8,1,3
44.0979697,39.0649881,14.66992589,37,8,1,3,1,4
51.6030704,46.0229082,14.89221801,91.5,15.4,3,9,2,1
57.6272581,39.898049,15.95557672,50.5,8,2,3,1,3
56.2566833,43.9852148,15.22649753,46.6,7.9,2,2,1,3
55.60492,37.742393,16.28361009,62.6,6.5,3,6,1,1
56.728511,61.3616856,13.59236701,27.2,5.7,1,2,1,3
55.712196,37.49926,17.87595357,140,22,3,5,1,2
56.2932878,38.2405928,16.53943411,54,28,1,16,1,2
44.6480102,39.1772122,14.73180129,32.5,10.1,1,3,1,3
55.4498786,37.7368387,15.91964471,62,11,2,15,1,2
55.9673858,44.450985,14.31628585,68,9,3,3,1,3
55.7513508,49.2079621,15.59046291,52,7.8,2,9,1,3
47.2302204,39.6286913,15.17648711,66,9,3,7,1,1
45.1444835,38.9971262,14.6909793,45,10,1,5,1,1
57.1470719,65.5679917,16.16688582,149.5,26.7,3,3,1,3
44.5508383,38.0620995,15.51953111,45.8,15.6,1,8,1,2
47.2224566,39.718803,14.89731573,41,12.5,1,2,2,3
53.1870607,45.0642328,14.86282955,37,9,1,22,1,2
55.662842,37.729386,15.86879548,44.8,11.7,1,4,2,2
45.0855531,39.0446268,14.62644077,39.1,10.2,1,5,2,2
55.736047,37.672765,16.41076526,46,8.7,2,6,1,4
55.727343,37.7353847,16.0559401,49.9,9.19,2,8,2,2
52.9892426,49.7018395,13.21767356,32,6,1,5,1,1
55.5935315,38.2534671,15.31958795,39.3,9.3,1,13,1,3
53.359195,83.6598552,14.75160392,45.6,8,2,6,1,1
55.0621343,82.9027605,14.7900702,31,6,1,1,1,3
56.3275529,46.5304431,14.5809784,54.2,8.7,2,7,1,1
45.0929799,38.9112931,15.06827353,63.5,13,2,4,1,2
55.733112,37.671669,16.2750994,38,6.4,2,2,1,1
55.673164,37.792519,16.06680236,38,8.6,1,4,1,1
43.4035285,39.9977632,15.86963429,42.2,12.4,1,5,2,2
57.1396333,65.5505999,15.4447511,88,12,3,9,1,1
47.2260742,39.7227762,15.17648711,35,8,1,3,1,3
56.3810995,36.9301826,14.28551419,40,5,2,1,1,3
58.217827,68.291742,14.5574479,36,8.1,1,4,1,1
56.0912567,49.877067,14.69056254,53,12,2,3,1,3
53.7249365,91.4624999,13.65299163,15.5,5,1,3,1,3
44.8845527,37.3398916,15.30391014,50.2,11,1,1,1,4
45.0958305,39.0174147,14.60396792,37.6,10,1,6,1,3
56.0245099,47.2873651,14.97866137,50.9,11.6,2,5,1,3
57.9264401,60.1173033,14.07787482,40,6,2,6,1,1
55.8317203,37.3295266,15.91964471,60.1,17.1,2,13,2,2
55.2699584,36.8200277,14.80876233,46.8,6,2,4,1,1
47.2756864,39.7811581,16.21340583,122,40,3,1,1,3
47.2069021,39.6299014,15.23861889,61,6,3,5,1,1
47.2354986,38.8733498,15.12384338,119,15.8,5,1,1,1
59.939084,30.315879,16.79104012,112.2,21.3,3,2,2,2
55.788044,37.464607,16.42558035,55.5,5.6,3,6,1,3
55.1457723,61.4406835,14.82711147,66.7,13,2,10,1,1
59.939084,30.315879,16.50335805,85,23,3,4,2,2
54.733574,20.4786575,15.83041358,90.3,10.6,2,1,1,3
55.1607509,61.3837958,14.67544256,36,9,2,1,1,3
44.8502852,38.299825,14.40329722,50,6,3,2,1,3
52.26644,104.32236,16.41820024,152.2,35,4,5,1,3
56.314417,44.049393,15.12384338,33,8.2,1,9,1,1
47.4152414,40.0739634,15.31958795,78,12,3,5,1,3
55.5614053,37.6854766,15.71761808,53.1,11.63,2,4,1,3
56.1164338,47.1923707,15.11023773,80.1,12.3,3,2,1,3
55.6131082,37.7486596,16.70031127,79,18,3,5,2,2
54.6714368,83.2413863,14.50865774,42.4,6.6,2,2,1,3
55.709236,49.348196,14.771022,46.4,12,1,1,1,1
55.9981642,37.8691574,16.11809565,81.4,17,2,4,1,3
42.5693945,47.8676948,15.25059508,94,16,2,7,1,2
52.042283,113.485733,15.26242954,42,10,1,2,1,3
59.951984,30.393105,17.49937747,77.7,15.7,2,2,1,3
55.0380306,83.0009317,13.65299163,30.1,6,1,1,1,1
56.849886,60.606844,15.33063779,50,7.5,2,4,1,3
55.1320334,61.4285433,14.01436142,31,18,1,5,1,3
55.0529095,82.8925752,15.52025865,69.6,7,4,4,1,1
45.0169156,39.0327801,14.88022129,60,6,3,1,1,3
57.149587,65.648773,15.34156686,78,12,3,5,1,1
51.29478,37.521219,14.15198279,52,12,1,3,1,3
57.1158104,65.5008105,15.52025865,62.1,14,2,14,1,2
57.2082244,65.5970204,14.85931461,37.6,11,1,9,2,6
51.78412,55.16948,14.771022,44.8,11.9,1,13,1,2
45.047202,38.993495,14.97866137,48,6,2,4,1,3
56.8847722,53.2302086,14.4306962,31,6,1,5,1,3
60.011145,30.411826,15.51843881,45.5,6,2,3,1,1
43.4845464,43.60713,13.94653882,45.6,13.9,1,5,2,3
59.939437,30.225803,16.13691741,45,14.2,1,14,1,2
61.7675975,34.308022,14.84512998,35,7,1,4,1,1
56.3434119,43.9233842,15.2856864,44.5,7.1,2,7,1,1
55.6915716,37.8844265,16.07727366,71.09,12,3,2,1,3
54.86439,83.1108016,15.38620764,58.9,7.7,3,3,1,3
54.991361,82.969558,15.73243317,61.5,21.1,2,7,2,2
56.8582679,53.2050251,14.84512998,59.5,6,4,4,1,1
54.9962257,82.9698045,14.82711147,46.2,5.8,2,5,1,1
55.6759696,52.3278522,14.64841968,36,9.3,1,8,1,1
55.7572378,49.1293317,14.4986074,23,5,1,1,1,3
54.9579153,20.4890858,15.50190951,36.3,8,1,7,1,3
47.289474,39.70526,15.00639812,64,12,3,7,1,1
56.0447106,92.9052414,15.85673089,70,9.5,3,8,1,1
55.5461951,37.555696,16.30041721,58.4,10,2,3,1,1
56.638763,47.809894,15.0964444,63.4,11.2,2,7,1,3
54.7074021,56.0014951,15.31958795,69,7,3,5,1,1
54.9652407,82.8967073,15.00943303,60,6,3,1,1,3
55.2411896,61.3701766,14.01436142,31.6,6,1,4,1,1
44.762683,37.713234,15.31958795,74.1,10.8,2,4,1,2
47.233931,39.691989,16.10804532,90,20,4,2,1,3
43.558798,39.772721,16.02323537,53,12,2,4,1,2
64.5354489,40.5313507,16.39572739,147.4,50,5,3,1,3
44.9036511,37.3685187,15.25059508,70.2,8,3,2,1,3
54.7183825,55.9890623,15.06254285,30.8,6.2,1,19,1,3
59.939084,30.315879,15.67118335,57,21,2,6,2,2
55.8739476,37.4861641,16.23142434,36,9,2,3,1,1
55.7474709,37.6607196,16.31694651,32,6,1,5,1,3
51.717295,39.148113,15.68731273,83,35,3,24,1,2
54.741935,55.985991,15.06827353,50,7,3,2,1,3
59.887002,30.360658,15.48321738,61,7,3,3,1,1
57.1529744,65.5344099,15.4447511,55.7,9.5,3,4,2,1
54.9900216,83.0044499,15.0964444,42,7,1,2,1,3
45.0407841,41.9827378,15.95557672,106,17.3,3,3,1,2
47.2257237,38.8782683,14.62644077,54,6,3,3,1,3
53.2164562,50.1708968,15.53020898,61,14.4,1,24,1,2
59.790806,30.167978,15.18922614,38.7,10.6,1,4,2,2
56.2932878,38.2405928,16.21340583,48,9,2,12,1,1
56.2326735,43.8358653,14.5574479,37,4.6,2,1,1,4
56.8472162,53.2813169,15.16358371,68,7,4,7,1,1
50.9062344,128.5654021,14.74372986,30.4,9,1,3,1,3
57.106791,65.549428,16.06574917,131.5,27.5,3,1,1,4
55.8247007,49.1318371,15.24821129,43,11,1,10,1,1
59.735192,30.5633212,15.57336848,58,6.2,3,3,1,1
55.7224329,37.7748652,16.22156879,58.4,11.7,2,7,2,2
50.599818,36.5927622,15.84365881,115.2,15.6,3,3,1,3
55.7686194,37.5974507,16.52356076,23.2,4,1,2,1,3
54.734944,55.9578468,15.0249484,53.2,15.3,2,11,2,2
60.0298343,30.142411,15.83705812,62.2,13.4,2,1,1,2
56.2911766,44.0062391,14.82711147,38,4.9,2,2,1,3
56.0559108,92.8962619,15.48321738,65.43,12,2,7,2,6
55.6964079,37.745865,16.30041721,37,9,1,3,1,2
57.1727863,65.5482233,15.21915356,75.3,19,3,9,1,4
47.239218,39.8148996,14.62599623,43.7,5.8,2,4,1,1
54.6254445,39.7358609,14.68512888,47,20,1,11,2,3
47.2944723,39.9023117,13.81551056,25,7,1,2,1,1
56.3090456,44.0135427,15.11023773,49.9,6,2,5,1,3
55.046623,82.9388678,15.50190951,63,7,3,3,1,3
47.295387,39.71721,15.58195222,70,15,2,14,1,3
57.1358194,65.4991372,14.89731573,56,18,2,3,1,3
57.1370279,65.473222,15.11706369,43.3,9,2,2,2,2
57.6215477,39.8977411,15.04807082,63.57,13.18,2,6,1,3
47.2993041,39.7500902,14.96291301,55,12,2,5,1,1
58.1277764,56.3838813,14.35200393,30,7,1,2,1,3
57.146466,65.459345,14.84512998,26.7,8,1,13,2,3
54.95703,20.476316,15.31744343,38.71,9.23,1,5,2,3
44.996278,39.0681,14.6909793,47,15,2,17,1,3
59.911367,30.476846,15.75999111,35,10,1,11,1,3
55.046326,82.90779,15.62379933,42,10,2,26,1,3
55.7574061,49.1556714,15.06827353,36,11,1,9,2,2
59.904302,30.47213,16.19967564,67,11,3,17,1,2
44.8793687,37.3171964,15.48321738,70,9,3,1,1,3
55.7537347,49.2008405,15.31958795,45,7.5,2,6,1,1
45.0015693,39.0727858,15.20180492,56.7,11,2,7,1,4
56.2848477,101.8939026,14.11561515,33,6,1,3,1,1
56.8345666,60.569582,16.81124283,130,41,4,14,1,2
57.14338,65.557441,14.90407251,34,6.3,1,6,1,3
57.1518362,65.5242792,15.99026228,104,20,3,7,1,3
47.7018209,40.1592639,13.75363515,28.9,5.9,1,2,1,3
56.6299871,47.8184634,14.60396792,41,10,1,1,1,3
47.2321771,39.7180286,15.77560534,71.3,20,2,4,1,2
59.9897574,30.3171552,15.91964471,48.1,8.2,2,3,1,3
59.9549879,30.3268329,15.8949521,56,9,2,1,1,6
54.734944,55.9578468,15.75425222,77,11,3,9,1,3
59.906571,30.51383,15.41489813,34,9,1,14,1,3
55.69519,37.73863,15.80338491,32,6,1,7,1,4
55.689136,37.545833,17.05418901,85,8.1,3,6,1,3
56.8275211,60.5865881,15.88237332,60,12,2,3,1,4
69.3498023,88.1890739,14.25376549,38,6,2,3,1,3
59.975139,30.315554,16.17542072,43,11.9,1,3,1,2
57.8194415,28.3317198,14.48333993,38.5,19,1,2,2,3
45.0121857,39.0987759,14.97866137,43,20,1,15,1,3
57.1924773,65.5852279,14.86982259,48,10,2,5,1,3
54.9670432,82.846241,15.27412558,44,7,2,6,1,1
54.9928935,82.8576336,15.46416918,70.5,9.3,2,6,1,1
48.7080087,44.5238573,15.52025865,70,9,3,5,1,3
56.010488,37.8242248,15.78959158,68,7,4,1,1,1
